ID,Start Node,Stop Node,Label,Diameter (mm),Notes,Length (Scaled) (m),Slope (Calculated) (m/km),Section Type,Manning's n,Flow (m³/h),Velocity (m/s),Capacity (Full Flow) (m³/h),Flow / Capacity (Design) (%),Depth/Rise (%),Is Active?,Population (System Sanitary) (Capita)
5843,MH5250,MH5258,נתוני_קווי_ביוב_אופקים-7534,200,,7.41,-9.451,Circle,0.013,(N/A),(N/A),115,(N/A),(N/A),True,(N/A)
5858,MH1611,MH431,נתוני_קווי_ביוב_אופקים-5569,40,,0.06,1886834.398,Circle,0.013,(N/A),(N/A),702,(N/A),(N/A),True,(N/A)
5859,MH388,MH1603,נתוני_קווי_ביוב_אופקים-5724,50,,0.09,-1330520.887,Circle,0.013,(N/A),(N/A),1068,(N/A),(N/A),True,(N/A)
5865,MH2078,MH2071,נתוני_קווי_ביוב_אופקים-4183,0,,2.01,26.368,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5891,MH414,MH415,נתוני_קווי_ביוב_אופקים-4338,0,,3.88,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5892,MH427,MH428,נתוני_קווי_ביוב_אופקים-4342,0,,2.91,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5898,MH424,MH425,נתוני_קווי_ביוב_אופקים-4345,0,,3.01,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5900,MH428,MH427,נתוני_קווי_ביוב_אופקים-4341,0,,2.91,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5902,MH504,MH2432,נתוני_קווי_ביוב_אופקים-4538,110,,0.99,-128266.162,Circle,0.013,(N/A),(N/A),2715,(N/A),(N/A),True,(N/A)
5907,MH426,MH425,נתוני_קווי_ביוב_אופקים-4343,0,,3.77,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5908,MH415,MH414,נתוני_קווי_ביוב_אופקים-4337,0,,3.88,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5909,MH430,MH428,נתוני_קווי_ביוב_אופקים-4340,0,,4.8,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5911,MH422,MH436,נתוני_קווי_ביוב_אופקים-4348,0,,2.52,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5918,MH425,MH424,נתוני_קווי_ביוב_אופקים-4344,0,,3.01,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5921,MH421,MH420,נתוני_קווי_ביוב_אופקים-4349,0,,4.66,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5927,MH4627,MH4647,נתוני_קווי_ביוב_אופקים-8882,110,,2.95,-27.146,Circle,0.013,(N/A),(N/A),40,(N/A),(N/A),True,(N/A)
5929,MH2495,MH2303,נתוני_קווי_ביוב_אופקים-3074,110,,4.96,330.666,Circle,0.013,(N/A),(N/A),138,(N/A),(N/A),True,(N/A)
5933,MH5161,MH5158,נתוני_קווי_ביוב_אופקים-4139,20,,1.26,22.218,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5936,MH3860,MH3870,נתוני_קווי_ביוב_אופקים-9520,200,,1.28,-31.317,Circle,0.013,(N/A),(N/A),209,(N/A),(N/A),True,(N/A)
5954,MH4647,MH4627,נתוני_קווי_ביוב_אופקים-8881,110,,2.95,27.146,Circle,0.013,(N/A),(N/A),40,(N/A),(N/A),True,(N/A)
5955,MH2828,MH2823,נתוני_קווי_ביוב_אופקים-2041,110,,3.51,22.765,Circle,0.013,(N/A),(N/A),36,(N/A),(N/A),True,(N/A)
5958,MH4474,MH4516,נתוני_קווי_ביוב_אופקים-8898,110,,3.48,-77.525,Circle,0.013,(N/A),(N/A),67,(N/A),(N/A),True,(N/A)
5959,MH1791,MH1724,נתוני_קווי_ביוב_אופקים-2588,8,,1.41,625.986,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
5960,MH3860,MH3870,נתוני_קווי_ביוב_אופקים-9538,160,,1.28,-31.317,Circle,0.013,(N/A),(N/A),115,(N/A),(N/A),True,(N/A)
5961,MH3860,MH3870,נתוני_קווי_ביוב_אופקים-9537,160,,1.28,-31.317,Circle,0.013,(N/A),(N/A),115,(N/A),(N/A),True,(N/A)
5964,MH3860,MH3870,נתוני_קווי_ביוב_אופקים-9539,160,,1.28,-31.317,Circle,0.013,(N/A),(N/A),115,(N/A),(N/A),True,(N/A)
5966,MH4592,MH4618,נתוני_קווי_ביוב_אופקים-8878,160,,2.69,-63.2,Circle,0.013,(N/A),(N/A),164,(N/A),(N/A),True,(N/A)
5968,MH3860,MH3870,נתוני_קווי_ביוב_אופקים-9536,160,,1.28,-31.317,Circle,0.013,(N/A),(N/A),115,(N/A),(N/A),True,(N/A)
