ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
34,MH1,0.0,0.0,163347.4,579771.61,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
36,MH3,0.0,0.0,164272.66,579313.05,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
47,MH4,0.0,0.0,164270.55,579320.57,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
91,MH8,0.0,0.0,164183.45,579293.4,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
102,MH9,0.0,0.0,164181.39,579263.28,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
113,MH10,0.0,0.0,164172.55,579269.64,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
191,MH12,0.0,0.0,164109.55,579335.45,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
202,MH13,0.0,0.0,164100.94,579316.05,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
213,MH14,0.0,0.0,164095.55,579302.81,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
214,MH15,0.0,0.0,163315.6,578674.76,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
224,MH16,0.0,0.0,164091.35,579290.34,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
235,MH17,0.0,0.0,164083.57,579274.22,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
246,MH18,0.0,0.0,164119.42,579259.21,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
251,MH19,0.0,0.0,163608.9,579092.84,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
258,MH21,0.0,0.0,164127.64,579279.18,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
274,MH23,0.0,0.0,163309.67,578973.48,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
280,MH24,0.0,0.0,164134.27,579297.87,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
291,MH25,0.0,0.0,164140.69,579312.65,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
302,MH26,0.0,0.0,164131.41,579287.71,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
312,MH27,0.0,0.0,163720.39,581050.44,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
313,MH28,0.0,0.0,164149.62,579374.12,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
314,MH29,0.0,0.0,163927.81,581064.3,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
321,MH36,0.0,0.0,164271.88,578746.42,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
324,MH37,0.0,0.0,164204.87,579350.57,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
